Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-103.87034	11.354456	-95.69	-119.927	1000.0	2999	1.1536872	0.57287174	2.3493042	0.22149572	-1.154156	0.00025161912	129.3119456768036
2	-102.723335	4.2005067	-97.384	-107.648	1000.0	5999	-0.34406236	0.4625626	0.8312478	-1.2251031	0.34352088	8.268404e-05	283.25656366348267
3	-90.86767	6.205031	-82.331	-96.896	1000.0	8999	-1.7415894	0.3700533	-0.92106485	-2.6481855	1.741193	8.036549e-05	457.3133964538574
4	-117.37333	33.226448	-85.649	-163.255	1000.0	11999	-2.8365655	0.44751024	-1.2183737	-3.908776	2.8363073	8.2392726e-05	1385.9605276584625
5	-85.637665	44.28861	-23.317	-122.213	795.3333	14999	-3.736995	0.70679516	-1.7315494	-6.3068013	3.7365518	0.00046938148	1853.6316437721252
6	-197.99898	4.493064	-191.847	-202.452	1000.0	17999	-4.873468	1.0499753	-2.3025165	-8.360509	4.873805	0.00068057963	1969.8186128139496
7	-76.797195	53.426735	-8.269	-127.361	681.6	20999	-5.85341	1.3731254	-2.7072241	-10.074901	5.8521585	0.0013587727	2218.6955502033234
8	-124.49767	37.277397	-76.902	-167.927	1000.0	23999	-6.680807	1.6620665	-3.2272375	-11.670567	6.678831	0.003545399	3244.417884349823
9	-121.407	74.12358	-6.763	-212.028	780.0	26999	-7.4808307	2.022716	-3.500225	-13.286131	7.4808903	0.003317673	3394.5264518260956
10	-140.79666	90.5849	-12.713	-206.928	719.0	29999	-8.368452	2.4364436	-3.854132	-14.705052	8.369959	0.0052839145	3539.831180334091
11	-124.85375	68.28596	-18.813	-207.044	826.75	32999	-9.165072	2.7645748	-3.5827281	-16.128914	9.169291	0.0069030086	3760.7818953990936
12	-157.57666	61.403633	-71.802	-212.196	1000.0	35999	-10.097718	3.2315257	-3.3368514	-17.351189	10.102243	0.0067145545	4745.770144701004
13	-166.30232	17.597296	-153.402	-191.183	1000.0	38999	-10.731625	3.5100055	-3.0807927	-18.408968	10.734546	0.00512298	5380.205169200897
14	-128.81532	41.3286	-88.106	-185.49	1000.0	41999	-11.127452	3.731621	-2.72111	-19.299292	11.129248	0.0051742736	5948.814190387726
15	-147.22333	53.099743	-79.874	-209.663	1000.0	44999	-11.629896	4.012569	-2.5958347	-19.902441	11.631404	0.004460473	7542.5914895534515
16	-123.8145	70.086876	-17.856	-202.733	798.75	47999	-11.944009	4.1520243	-2.3493268	-20.575735	11.945001	0.0061800852	8151.956378698349
17	-143.12125	79.829414	-12.431	-211.066	797.25	50999	-12.504715	4.4116898	-2.127374	-21.094429	12.506306	0.005566377	8317.363583803177
18	-166.11133	31.159811	-122.249	-191.713	1000.0	53999	-12.936395	4.5601625	-1.8927802	-21.601301	12.938267	0.0055395747	8432.878156423569
19	-119.123665	73.746895	-18.252	-192.507	755.0	56999	-13.261108	4.627521	-1.6555461	-22.013214	13.262943	0.0047931476	8627.832535743713
20	-134.40134	12.763137	-116.664	-146.166	1000.0	59999	-13.478231	4.6692395	-1.6133432	-22.486986	13.479426	0.0056918664	8754.122527599335
21	-103.50201	87.502045	-12.565	-199.496	619.1667	62999	-13.721249	4.7866077	-1.4739615	-22.72595	13.722807	0.004280561	9031.988439798355
22	-71.33967	85.824394	-6.88	-206.264	449.5	65999	-13.94366	4.9474335	-1.1801172	-22.934128	13.94493	0.005758811	9334.012711048126
