Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-98.065	9.735001	-88.33	-107.8	1000.0	1999	-0.75720936	0.21412925	1.0375512	-2.8357651	0.75299937	0.017614463	44.11190176010132
2	-77.91499	4.535	-73.38	-82.45	1000.0	3999	-1.3750151	0.28563473	-0.71826863	-2.2375197	1.3747654	0.00025810202	109.71457839012146
3	-87.865005	1.9650002	-85.9	-89.83	1000.0	5999	-2.1023655	0.30800107	-1.4356899	-2.9711769	2.102006	0.0005066534	173.9540205001831
4	-71.055	8.945	-62.11	-80.0	1000.0	7999	-2.7189271	0.32909477	-1.9874847	-3.7014577	2.7189353	0.00038415226	241.8750500679016
5	-97.16	11.350001	-85.81	-108.51	1000.0	9999	-3.3157296	0.45494246	-2.5247471	-4.4805017	3.315887	0.00069787895	310.1554522514343
6	-62.703335	60.37231	-19.43	-148.08	540.6667	11999	-3.808665	0.50220734	-2.9019182	-5.1147594	3.807636	0.0020839209	779.5564360618591
7	-140.515	17.645	-122.87	-158.16	1000.0	13999	-4.31198	0.5929122	-3.1256418	-5.8044286	4.3108406	0.002379622	822.7423119544983
8	-99.31667	59.790348	-15.22	-148.99	767.0	15999	-4.9298587	0.80495113	-3.3709211	-7.2032185	4.9295874	0.0024862268	1105.7379350662231
9	-75.15	50.13	-25.02	-125.28	659.0	17999	-5.4887843	1.0587504	-3.5295289	-7.8970876	5.488512	0.004343894	1395.702713727951
10	-176.92	10.160004	-166.76	-187.08	1000.0	19999	-6.0586324	1.3498057	-3.395615	-9.023978	6.0590725	0.004474429	1441.573190689087
11	-55.089996	38.028606	-23.51	-108.58	619.3333	21999	-6.487159	1.6103644	-3.2546885	-10.096391	6.4881516	0.0040707537	1926.591372013092
12	-146.32	1.3299942	-144.99	-147.65	1000.0	23999	-6.9299154	1.8328774	-2.9991636	-11.159876	6.931161	0.0055178115	1970.0848379135132
13	-82.5	43.078026	-21.71	-116.36	789.3333	25999	-7.2964144	2.024736	-2.7848883	-12.1641445	7.298206	0.005484348	2193.5261867046356
14	-108.96	63.267105	-22.13	-171.07	784.0	27999	-7.7284255	2.250156	-2.597884	-12.999758	7.7306037	0.004876662	2427.223696231842
15	-74.78333	71.54815	-18.95	-175.78	556.3333	29999	-8.195179	2.5441642	-2.3887846	-13.7362	8.197553	0.0057680546	2919.2881371974945
16	-105.32667	57.221497	-24.41	-146.69	802.3333	31999	-8.543611	2.729538	-2.3763473	-14.473034	8.546112	0.0052404343	3177.2439579963684
17	-73.18	74.15865	-19.76	-178.05	575.3333	33999	-8.881931	2.9758496	-2.1454687	-15.187343	8.884307	0.005978166	3637.3190932273865
18	-132.61499	5.7249985	-126.89	-138.34	1000.0	35999	-9.137367	3.160498	-2.2055457	-15.664436	9.140031	0.006167799	3677.49582529068
