Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-86.515	7.0057282	-79.56	-97.21	1000.0	-0.17613778	0.0056731193	-0.16939555	-0.20103803	4000	4.61936e-07	60.41958	-0.0057849325	-55.891174	0.9189387	0.0054478184	0.044250004	79.0	20.15648627281189
1	-99.5775	25.534573	-67.5	-138.79	1000.0	-7.1698375	0.07564289	-6.962605	-7.3130937	8000	2.9802322e-08	13.738295	-0.003129167	-7.3474665	0.92506194	0.005805257	0.03525	79.0	41.184502363204956
2	-130.42001	9.526848	-118.73	-144.19	1000.0	-9.912553	0.084175944	-9.660506	-10.050517	12000	7.4505806e-08	11.177378	-0.0061775222	-9.395239	0.9092568	0.0050494964	0.06475	79.0	64.75434684753418
3	-82.7075	18.986683	-50.64	-97.35	1000.0	-13.01933	0.06293056	-12.830964	-13.118645	16000	-2.9802322e-08	23.487518	-0.005648639	-18.825275	0.9163723	0.004292694	0.046000004	79.0	84.60864305496216
4	-68.927505	29.730988	-33.96	-108.54	1000.0	-8.620349	0.08901304	-8.328016	-8.755384	20000	0.0	11.201974	-0.0033769459	-2.97898	0.90979165	0.0057166712	0.036250003	79.0	104.37860465049744
5	-99.6325	16.220293	-79.75	-119.37	1000.0	-6.9597883	0.07792853	-6.771054	-7.157214	24000	-1.0430813e-07	11.326634	-0.0041701645	-8.489329	0.8985146	0.0056305565	0.043500002	79.0	124.33094930648804
6	-73.4925	28.526808	-44.08	-115.89	1000.0	-9.8172245	0.098525	-9.575058	-10.026929	28000	5.9604645e-08	13.367487	-0.003925234	-5.558853	0.9075563	0.0061023054	0.0505	79.0	144.25876116752625
7	-102.56999	35.22306	-72.09	-161.34	1000.0	-7.5280924	0.27127212	-7.088373	-7.885837	32000	-4.4703484e-08	17.29357	-0.0031775944	-7.933119	0.90972924	0.0012020654	0.036	79.0	163.895357131958
8	-92.932495	9.619192	-79.42	-106.45	1000.0	-9.958068	0.10372601	-9.674401	-10.1658	36000	0.0	1.5527649	-0.006386853	-0.7491929	0.89857286	0.008214536	0.073	79.0	186.39413046836853
