Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-78.67	1.1899986	-77.48	-79.86	1000.0	1999	-0.6264914	0.1612727	1.0494188	-2.5606756	0.62252235	0.015379182	50.75711274147034
2	-80.18	0.29000092	-79.89	-80.47	1000.0	3999	-1.1463934	0.19547263	-0.78315735	-1.535751	1.1464682	0.00021675641	104.68968749046326
3	-78.7	1.1199989	-77.58	-79.82	1000.0	5999	-1.8180014	0.19815105	-1.283448	-2.2311583	1.8185736	0.00047538464	158.7034695148468
4	-77.32	0.26000214	-77.06	-77.58	1000.0	7999	-2.4443555	0.18469079	-1.8673692	-2.8614829	2.4446836	0.00031541975	212.20099592208862
5	-81.0	1.699997	-79.3	-82.7	1000.0	9999	-2.9992175	0.19058533	-2.2428231	-3.4721582	2.9998598	0.00030136574	266.4713864326477
6	-16.94125	6.596475	-5.12	-22.58	229.25	11999	-3.4323075	0.22870263	-2.576041	-3.9912949	3.4299517	0.0015301604	2287.786455154419
7	-14.440909	7.4728775	-4.66	-23.41	196.63637	13999	-3.7104192	0.295424	-2.87008	-4.3176184	3.701479	0.005987008	4185.073085308075
8	-15.556667	6.5579963	-4.4	-22.76	212.55556	15999	-3.9323978	0.3389473	-2.9184651	-4.6791277	3.9230478	0.011468132	6113.2056522369385
9	-18.56375	5.7091746	-4.9	-23.3	247.5	17999	-4.131436	0.37027666	-2.9391928	-4.873167	4.1233263	0.015392054	8169.69282245636
10	-15.69889	6.252851	-4.94	-22.17	213.77777	19999	-4.306654	0.38910744	-2.6143794	-5.1599255	4.297845	0.01966927	10171.949652910233
11	-24.744	27.319529	-4.81	-103.97	201.9	21999	-4.39745	0.3452575	-2.8716094	-5.880148	4.389656	0.25816733	12042.961858510971
12	-13.547	6.520141	-5.32	-22.5	211.4	23999	-4.419952	0.28375554	-2.1046824	-5.6331997	4.406372	0.39653674	13947.197142839432
13	-17.066666	1.3465223	-15.23	-18.74	328.5	25999	-4.4065433	0.52191126	-1.5308392	-5.5007825	4.396287	0.39050528	16046.420964956284
14	-18.476002	1.9967734	-15.4	-20.67	341.6	27999	-4.4478126	0.5715954	-1.4913775	-5.6861014	4.436828	0.34307203	18247.10902452469
15	-17.117144	2.197113	-14.02	-20.18	325.0	29999	-4.4524193	0.5693999	-1.7503251	-5.7542124	4.4426746	0.34380627	20317.68253970146
16	-18.414	2.2048998	-15.23	-20.72	345.6	31999	-4.470289	0.5660341	-1.7748164	-5.8853283	4.4617066	0.16027375	22563.286855697632
17	-18.463333	1.3377428	-16.74	-20.37	348.16666	33999	-4.4550085	0.5485671	-1.7721837	-5.9722424	4.4407744	0.3913805	24684.38708591461
18	-18.238333	0.9093847	-16.6	-19.37	341.16666	35999	-4.4835033	0.57362515	-2.3212504	-6.0274835	4.4722447	0.39300492	26872.23130631447
19	-18.026667	2.3709745	-14.08	-21.21	336.16666	37999	-4.467772	0.5760261	-2.3577611	-5.8912244	4.4572663	0.25386176	29015.69620656967
20	-16.683332	2.6278863	-12.6	-20.22	312.5	39999	-4.476233	0.6051605	-1.9475021	-6.1660137	4.4697275	0.20633045	31130.890667676926
