Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-132.459	15.448906	-107.539	-147.432	1000.0	0.3820138	0.010204364	0.3897279	0.3614021	4000	8.940697e-08	164.48312	-0.0054195332	-139.07796	0.918938	0.0030588214	0.049000002	79.0	29.249512434005737
1	-112.07875	9.467074	-102.484	-127.242	1000.0	-8.136162	0.008480337	-8.121943	-8.144238	8000	-2.9802322e-08	10.791588	-0.004998943	-8.300938	0.91621417	0.00912114	0.0635	79.0	55.477410316467285
2	-135.36125	24.570187	-96.17	-161.083	1000.0	-10.276247	0.13745897	-10.047858	-10.388862	12000	5.9604645e-08	18.1142	-0.0046360213	-10.474234	0.91027224	0.006248047	0.0505	79.0	78.48041701316833
3	-133.8145	22.09668	-95.904	-150.833	1000.0	-12.866915	0.0029167233	-12.862442	-12.869602	16000	2.9802322e-08	7.126654	-0.00479424	-0.5773828	0.89785784	0.0033666424	0.0375	79.0	99.61809492111206
4	-124.50725	29.16016	-82.887	-161.549	1000.0	-13.534484	0.0058247102	-13.528472	-13.543381	20000	2.9802322e-08	10.33733	-0.0037659705	-0.6570349	0.88737136	0.0038148523	0.04	79.0	120.22588443756104
5	-106.10675	38.439495	-66.209	-169.409	1000.0	-12.807856	0.026975561	-12.762489	-12.833906	24000	0.0	19.981941	-0.0060711764	-12.145376	0.8735329	0.0074622314	0.073	79.0	140.56390714645386
6	-137.86575	31.444033	-97.077	-176.637	1000.0	-11.416567	0.55142224	-10.843753	-12.231816	28000	3.7252903e-08	14.781029	-0.0039051026	-10.135555	0.87018496	0.008912505	0.06875	79.0	161.56931138038635
7	-120.34174	26.46741	-101.622	-166.025	1000.0	-12.546357	1.669279	-10.62188	-15.15957	32000	0.0	2.7672863	-0.002666466	-1.6922481	0.867238	0.015972108	0.15474999	4.0	181.77198576927185
8	-112.83325	28.700975	-74.813	-153.849	1000.0	-12.248041	2.2057314	-10.364631	-15.935607	36000	1.4901161e-08	3.571697	-0.0045796335	-1.9148868	0.8674474	0.005444437	0.04975	79.0	202.3238706588745
9	-135.40375	18.216898	-110.193	-160.507	1000.0	-13.022049	3.1432567	-8.0705385	-15.974947	40000	2.9802322e-08	9.71604	-0.004214987	-7.154826	0.85767186	0.006368858	0.062	79.0	223.3898811340332
10	-97.31026	25.555382	-73.846	-137.113	1000.0	-11.775258	1.6425046	-10.651722	-14.624853	44000	7.4505806e-08	6.354786	-0.0041615963	-5.0791807	0.85607713	0.004759923	0.062750004	79.0	245.60687923431396
11	-101.796	29.807003	-57.827	-141.508	1000.0	-12.723329	1.0275785	-11.031999	-14.047181	48000	0.0	10.48886	-0.006533079	-9.196847	0.86470985	0.015074551	0.114	62.0	265.87745928764343
12	-110.01725	19.297636	-78.371	-130.068	1000.0	-11.873254	3.4613707	-5.4932446	-14.680123	52000	-2.9802322e-08	4.4474597	-0.0050083995	-3.0521924	0.86778	0.009253973	0.06575	79.0	286.63479232788086
13	-121.87925	20.476982	-91.99	-146.18	1000.0	-12.377593	0.4896157	-11.4075575	-12.862022	56000	7.450581e-09	4.221914	-0.0039801598	-3.1043804	0.8740994	0.008014081	0.058000002	79.0	307.21847772598267
14	-102.32475	16.381048	-83.761	-126.753	1000.0	-9.054766	3.6135368	-2.8826113	-14.235426	60000	0.0	5.8933787	-0.0036751172	-5.3769884	0.8759079	0.004943117	0.061499998	79.0	327.93405628204346
15	-110.1035	17.893267	-79.498	-124.268	1000.0	-11.356153	1.0863204	-9.050094	-13.458289	64000	-2.9802322e-08	1.7765677	-0.0061533167	-1.4815247	0.8911669	0.011428725	0.08175	79.0	348.5261056423187
16	-96.200745	27.742298	-74.167	-143.038	1000.0	-9.448919	3.0054195	-4.9977307	-13.173016	68000	5.9604645e-08	3.2739842	-0.0059899967	-2.5620427	0.89483917	0.008000931	0.0725	79.0	369.5112099647522
17	-107.4555	25.371925	-89.028	-151.154	1000.0	-12.149063	2.0963588	-7.3737497	-14.232183	72000	0.0	5.713763	-0.005214542	-4.9617243	0.8880834	0.008739868	0.0855	79.0	390.2174515724182
18	-72.356995	15.153233	-53.447	-90.392	1000.0	-7.547037	2.0754232	-4.4157805	-10.9272585	76000	-1.3038516e-08	0.77500224	-0.0041856654	-0.39451104	0.88963604	0.0060117394	0.05775	79.0	411.06972002983093
19	-93.539246	8.848109	-79.486	-103.721	1000.0	-9.937603	1.46848	-6.77372	-12.447181	80000	-2.6077032e-08	1.6504073	-0.006177387	-1.4709598	0.8863864	0.0070547396	0.093	79.0	431.6120095252991
20	-113.673	24.291494	-95.058	-155.418	1000.0	-12.079406	2.1650836	-8.161569	-15.057923	84000	-5.9604645e-08	2.1800175	-0.0037978888	-1.8259025	0.86458653	0.0073375683	0.05675	79.0	452.5462999343872
21	-111.017494	34.710957	-62.805	-152.665	1000.0	-11.667425	3.9362388	-5.2797785	-16.068048	88000	0.0	0.8977606	-0.0055613853	-0.6876513	0.8596793	0.0056687947	0.06925	79.0	474.06592321395874
22	-103.07875	16.348618	-78.588	-120.343	1000.0	-10.059512	2.3781228	-5.2117677	-14.302719	92000	2.9802322e-08	2.2411911	-0.006536469	-1.9427637	0.8591816	0.006484419	0.07575001	79.0	495.90485167503357
23	-73.043755	7.275283	-62.691	-81.224	1000.0	-8.718719	3.1426542	-3.5257866	-13.180143	96000	0.0	7.052294	-0.0059991963	-6.4414535	0.86562824	0.009713874	0.0765	79.0	516.9670367240906
24	-99.522	10.78824	-82.933	-111.453	1000.0	-7.3627996	0.45368284	-6.464739	-8.4336605	100000	-1.4901161e-08	9.298323	-0.005109191	-8.548935	0.86717767	0.0046195704	0.045	79.0	537.8578763008118
25	-78.353	18.32063	-56.116	-102.667	1000.0	-8.492273	1.120309	-6.0584927	-10.208414	104000	0.0	2.0187755	-0.007357292	-1.8046299	0.8624864	0.011221786	0.06925	79.0	558.8483834266663
26	-95.28275	22.476131	-59.058	-115.998	1000.0	-7.8804784	2.1369872	-3.8969374	-10.601064	108000	0.0	4.100506	-0.0059257597	-3.7671838	0.87487054	0.005796606	0.06475	79.0	579.4398083686829
27	-82.47875	16.084614	-64.649	-108.077	1000.0	-9.4182205	2.0115037	-5.9015665	-12.00616	112000	2.9802322e-08	6.004336	-0.0036462396	-5.6233273	0.87338704	0.0074045137	0.088750005	79.0	600.2334432601929
28	-76.43625	14.935895	-61.052	-99.968	1000.0	-7.813008	0.17049247	-7.4449253	-8.09056	116000	-2.2351742e-08	2.6170123	-0.002277092	-1.2520536	0.872762	0.00149343	0.0275	79.0	620.9418950080872
29	-93.878006	28.301754	-59.268	-138.016	1000.0	-8.360451	1.9054613	-5.7180653	-12.56083	120000	-2.9802322e-08	2.731382	-0.006768628	-2.117995	0.86144173	0.0102410875	0.097	79.0	641.8649051189423
30	-92.91675	22.417088	-59.624	-120.129	1000.0	-9.07276	2.9154384	-5.0404096	-14.553356	124000	-2.9802322e-08	0.9710605	-0.00733147	-0.7446811	0.8715664	0.010546196	0.11225	79.0	662.7211265563965
31	-85.7395	14.945495	-66.604	-103.027	1000.0	-8.704011	2.1226954	-5.606026	-12.2274	128000	2.9802322e-08	0.57487154	-0.0047365837	-0.27421206	0.8682422	0.0039538024	0.073	79.0	683.225593328476
32	-105.78449	25.62127	-75.225	-136.127	1000.0	-10.8894415	2.5013928	-8.166976	-14.169575	132000	0.0	0.33504957	-0.0063767396	-0.2785519	0.8624237	0.005102545	0.09424999	79.0	703.757565498352
33	-73.77475	10.448136	-59.986	-86.81	1000.0	-7.487726	1.0676466	-5.998486	-9.017263	136000	1.4901161e-08	0.85203135	-0.004727423	-0.5740182	0.8485589	0.006757763	0.070250005	79.0	724.19628739357
34	-93.067245	10.395524	-81.496	-109.311	1000.0	-8.771848	2.0004644	-6.3445835	-12.562287	140000	-5.9604645e-08	1.5674255	-0.00735439	-1.0480626	0.8612321	0.0084824525	0.11475	79.0	745.1667084693909
35	-84.73399	5.221971	-77.509	-91.686	1000.0	-9.593316	0.4462488	-8.733633	-10.062264	144000	2.9802322e-08	2.1848216	-0.0062368214	-1.8077836	0.8541741	0.006113426	0.07225	79.0	766.3953166007996
36	-59.81575	11.77252	-44.652	-74.304	1000.0	-6.511374	1.2653881	-3.6573029	-8.451874	148000	2.2351742e-08	2.617423	-0.0035063373	-1.8675628	0.8579981	0.00608603	0.04325	79.0	787.2911198139191
37	-99.97125	26.812479	-54.443	-121.019	1000.0	-9.470253	2.0291393	-6.9145694	-13.135556	152000	5.9604645e-08	2.8633907	-0.0073300228	-2.4259639	0.8579322	0.012995087	0.11624999	79.0	808.2214460372925
38	-87.119	29.829832	-49.879	-120.72	1000.0	-7.4909062	2.3264332	-5.3725734	-12.27108	156000	-5.9604645e-08	5.2165623	-0.004104036	-4.703828	0.85476947	0.0023213327	0.035	79.0	828.9749670028687
39	-57.1275	7.0648365	-52.335	-69.315	1000.0	-5.393417	0.5078383	-4.300266	-6.2147098	160000	-2.2351742e-08	1.4781739	-0.0031376556	-0.26943755	0.8671138	0.006591826	0.039750002	79.0	849.6599400043488
40	-88.0785	19.093672	-67.302	-119.02	1000.0	-10.273477	2.4544048	-5.5973244	-11.874585	164000	-5.9604645e-08	9.068413	-0.004644707	-8.634209	0.8744392	0.0072889803	0.06225	79.0	870.3026697635651
41	-93.39875	3.729167	-89.763	-98.965	1000.0	-9.0196	2.148391	-5.7230177	-11.743288	168000	0.0	3.7308035	-0.0037019541	-3.3597689	0.8930426	0.0056453915	0.05325	79.0	890.9755074977875
42	-85.133	10.089716	-70.719	-97.358	1000.0	-8.770221	0.6162615	-7.592462	-9.565746	172000	-7.450581e-09	1.1006151	-0.004163362	-0.6313559	0.8911459	0.0044807717	0.052	79.0	912.0772783756256
43	-92.8265	15.556233	-73.331	-109.793	1000.0	-10.7302065	1.3062065	-9.404269	-12.453975	176000	1.3411045e-07	2.6755643	-0.0052553234	-2.2498329	0.8785222	0.005744968	0.05625	79.0	933.2576985359192
44	-91.128494	11.859755	-77.628	-106.851	1000.0	-8.392757	1.8095498	-7.0103693	-12.670997	180000	4.4703484e-08	1.7648237	-0.005348414	-1.5084597	0.8673519	0.0055466485	0.06125	79.0	954.0502605438232
45	-79.8875	11.6172285	-64.32	-95.829	1000.0	-7.781343	0.44935286	-7.3286934	-9.139417	184000	0.0	1.7284057	-0.0051949555	-1.2362545	0.8681227	0.005161402	0.074499995	79.0	975.0785899162292
46	-78.45025	12.986981	-59.896	-94.504	1000.0	-8.288799	2.2346425	-6.0331526	-11.938482	188000	-1.4901161e-08	5.71061	-0.0045339856	-5.184878	0.87274414	0.009269395	0.0765	79.0	995.8693227767944
47	-71.885254	20.057787	-52.355	-98.678	1000.0	-8.686266	1.6777989	-5.807463	-11.198694	192000	-2.9802322e-08	3.980785	-0.003197655	-3.3500772	0.88156545	0.0030567842	0.03	79.0	1016.8361642360687
48	-85.03175	21.072392	-64.873	-118.904	1000.0	-7.598809	3.127267	-5.130634	-13.550485	196000	0.0	2.2792978	-0.005697176	-1.8015958	0.8757703	0.0041683842	0.067	79.0	1037.5186684131622
49	-85.322754	27.382477	-43.752	-116.81	1000.0	-7.717194	2.3246799	-5.8274527	-12.745997	200000	-1.527369e-07	3.2674088	-0.006048765	-2.9849005	0.8729695	0.0054648216	0.06975	79.0	1058.7947447299957
50	-73.031	19.511095	-46.591	-99.085	1000.0	-9.188691	2.4368875	-4.897272	-11.061846	204000	-1.4901161e-08	13.329007	-0.005683124	-12.476101	0.8602819	0.007076334	0.106000006	79.0	1080.06187748909
51	-75.0615	21.143188	-57.758	-111.139	1000.0	-7.654212	0.42920068	-6.5965447	-8.371539	208000	-2.9802322e-08	3.0892766	-0.005246993	-2.6659544	0.85221803	0.0041102413	0.07025	79.0	1100.9407889842987
52	-65.1835	5.98674	-59.587	-75.074	1000.0	-8.301949	1.261637	-6.6228037	-10.064102	212000	-7.450581e-09	5.010478	-0.0068037715	-4.175599	0.83510864	0.008221623	0.069000006	79.0	1121.8392233848572
53	-88.06625	25.787092	-60.702	-126.124	1000.0	-7.6946583	2.5949144	-4.814963	-11.543952	216000	-5.9604645e-08	1.9863312	-0.0049496293	-1.7038412	0.8258015	0.0055935164	0.0635	79.0	1143.215830564499
