Wall time,Step,Value
1639999654.640452,0,-81.2490005493164
1640001264.2223184,1,-76.47650146484375
1640001304.2571385,2,-101.406494140625
1640001866.300272,3,-74.489501953125
1640002388.316724,4,-88.06724548339844
1640003124.7093365,5,-103.80999755859375
1640004123.8343816,6,-68.37159729003906
1640005033.9731333,7,-58.59980010986328
1640005138.2850242,8,-88.16624450683594
1640006367.744883,9,-69.14939880371094
1640007446.191411,10,-50.63319778442383
1640007729.3041797,11,-96.51774597167969
1640008210.5185544,12,-91.72700500488281
1640009266.6556466,13,-96.1344985961914
1640010420.1305943,14,-71.06600189208984
1640011014.2191708,15,-48.648250579833984
1640011412.1990356,16,-93.19574737548828
1640012004.5404232,17,-67.76374816894531
1640012593.1125495,18,-62.355247497558594
1640013339.752229,19,-80.87100219726562
1640014038.1379602,20,-65.22724914550781
1640015172.8668876,21,-45.161399841308594
1640016243.523267,22,-73.10600280761719
1640017022.5874388,23,-35.68674850463867
1640018197.814046,24,-59.263999938964844
1640018513.0008578,25,-73.75300598144531
1640020444.4474702,26,-66.9365005493164
1640021425.8936737,27,-55.9427490234375
1640022174.569435,28,-53.66559982299805
1640023650.856388,29,-68.26899719238281
1640024578.7429295,30,-58.818748474121094
1640025325.6567585,31,-52.69774627685547
1640027022.3902333,32,-55.38725280761719
1640028508.1690676,33,-27.61639976501465
1640029222.02136,34,-58.12774658203125
1640029266.8363426,35,-85.96324920654297
1640030194.5532618,36,-46.304500579833984
1640031236.9004781,37,-46.582252502441406
1640032187.1661909,38,-49.96099853515625
1640033160.9940124,39,-34.657249450683594
1640033955.26191,40,-34.07160186767578
1640035866.1158812,41,-52.74800109863281
1640036863.583018,42,-49.20220184326172
1640038352.5604532,43,-49.97060012817383
1640039745.7081056,44,-36.419498443603516
1640040682.9261484,45,-39.93259811401367
1640041335.3312864,46,-45.31540298461914
1640042837.9399369,47,-45.32474899291992
1640044777.8603008,48,-38.27975082397461
1640045846.1040072,49,-38.50149917602539
1640047014.0527358,50,-18.036001205444336
1640048345.169207,51,-22.655500411987305
1640049622.4051883,52,-27.899200439453125
1640050391.2555149,53,-19.099334716796875
1640051627.6280432,54,-30.984832763671875
1640052861.2760453,55,-27.64999771118164
1640053973.9894915,56,-28.10533332824707
1640055854.6816888,57,-33.54871368408203
1640057403.709941,58,-35.21249771118164
1640058501.632715,59,-20.65599822998047
1640059283.4361808,60,-29.49557113647461
1640060210.5848064,61,-18.852571487426758
1640061173.7247643,62,-28.07642936706543
1640061705.0261471,63,-22.339624404907227
1640062875.9508524,64,-18.916221618652344
1640063959.2932172,65,-19.439250946044922
1640064625.5320466,66,-21.306556701660156
