Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-93.165	9.614998	-83.55	-102.78	1000.0	1999	-0.74796414	0.21771002	1.0448352	-2.8345418	0.7464489	0.017686727	40.901862144470215
2	-77.655	1.3050003	-76.35	-78.96	1000.0	3999	-1.3323755	0.28144976	-0.68285024	-2.2936473	1.3320107	0.00027333933	88.46825933456421
3	-85.205	4.005001	-81.2	-89.21	1000.0	5999	-2.022433	0.3041524	-1.3778812	-2.8643806	2.0222955	0.00052871084	143.94246172904968
4	-71.130005	9.700001	-61.43	-80.83	1000.0	7999	-2.6354616	0.31807968	-1.9592987	-3.5883956	2.6364913	0.00037608796	200.2704885005951
5	-95.34	11.66	-83.68	-107.0	1000.0	9999	-3.2244508	0.43174246	-2.4799926	-4.351953	3.2250562	0.00070415414	274.1098976135254
6	-36.4575	35.36922	-9.67	-97.33	464.0	11999	-3.7515378	0.48028362	-2.8340368	-5.009929	3.7506988	0.0015770029	1719.1489932537079
7	-76.31	39.63	-36.68	-115.94	705.5	13999	-4.184891	0.50007015	-3.1037588	-5.800118	4.181889	0.0047844495	2092.9795293807983
8	-97.23	64.96259	-17.04	-176.15	769.6667	15999	-4.669752	0.6685498	-3.191857	-7.2293334	4.668079	0.004376467	2650.1527121067047
9	-76.645	22.774998	-53.87	-99.42	788.5	17999	-5.087355	0.8704491	-2.8687437	-8.48658	5.0859666	0.0059536514	3900.240586042404
10	-168.29999	10.43	-157.87	-178.73	1000.0	19999	-5.6657944	1.2499815	-2.6450443	-9.728328	5.665131	0.0065554255	4011.192803621292
11	-124.54	39.577457	-75.59	-172.52	935.6667	21999	-6.136143	1.4739034	-2.4098303	-10.764003	6.136277	0.0075821225	4937.889456272125
12	-46.1275	49.606155	-12.62	-131.78	483.0	23999	-6.522707	1.8137345	-1.8430982	-11.648898	6.5228367	0.007937859	5561.9528341293335
13	-134.11	29.84	-104.27	-163.95	1000.0	25999	-6.927483	2.049357	-1.7156099	-12.631069	6.9278574	0.008128958	6721.993448734283
14	-57.893337	56.64119	-14.67	-137.91	538.3333	27999	-7.2645583	2.2198493	-1.5620102	-13.20643	7.264749	0.008218283	7267.690618753433
15	-158.4	2.090004	-156.31	-160.49	1000.0	29999	-7.676698	2.4790676	-1.5130256	-13.923774	7.6773868	0.011525243	7352.669422864914
16	-151.86	8.529999	-143.33	-160.39	1000.0	31999	-8.105	2.680097	-1.3346273	-14.640743	8.105199	0.008749231	7438.250828504562
17	-103.223335	58.692417	-21.26	-155.55	776.0	33999	-8.529738	2.8655567	-1.2340041	-15.047771	8.531319	0.007434539	7762.0682537555695
18	-93.325	79.345	-13.98	-172.67	639.5	35999	-8.874208	3.0784364	-1.0919702	-15.835308	8.876226	0.0077134827	8049.030630111694
19	-102.966675	64.66503	-15.5	-169.82	768.6667	37999	-9.164139	3.270492	-1.0275117	-16.0541	9.166494	0.0078102807	8370.10540509224
20	-147.02	13.470001	-133.55	-160.49	1000.0	39999	-9.479117	3.4104304	-0.9873769	-16.547962	9.481399	0.0097393645	8470.284358501434
21	-86.590004	53.30673	-17.25	-146.88	773.3333	41999	-9.754105	3.5363007	-0.63933605	-16.950727	9.756515	0.007466711	8705.527035474777
22	-162.61	12.779999	-149.83	-175.39	1000.0	43999	-10.073253	3.6707938	-0.6089127	-17.232777	10.075246	0.0068843937	8804.30950307846
23	-129.11499	2.284996	-126.83	-131.4	1000.0	45999	-10.29694	3.7330732	-0.57820684	-17.57129	10.29884	0.0072419667	8921.227308988571
24	-153.265	4.625	-148.64	-157.89	1000.0	47999	-10.566559	3.8017473	-0.5247664	-17.86583	10.569487	0.006837887	9005.996564865112
25	-134.275	23.995003	-110.28	-158.27	1000.0	49999	-10.793328	3.8511255	-0.60483587	-18.085316	10.795616	0.007486909	9093.100049734116
26	-75.545	54.485	-21.06	-130.03	666.5	51999	-11.007089	3.9079425	-0.5966105	-18.370256	11.008711	0.007004515	9344.109270334244
27	-109.29	35.663338	-58.91	-136.53	879.3333	53999	-11.137486	3.940892	-0.6018662	-18.452702	11.138512	0.0073074484	10030.785925626755
28	-117.96	16.57	-101.39	-134.53	1000.0	55999	-11.21625	3.9564266	-0.64584404	-18.679892	11.217622	0.00887832	10245.14382648468
29	-94.34	80.46999	-13.87	-174.81	654.5	57999	-11.365357	4.035229	-0.65933794	-18.83672	11.366994	0.009991907	10304.08815073967
30	-95.89667	60.32915	-12.87	-154.42	755.3333	59999	-11.501528	4.1084642	-0.72647023	-19.01494	11.502711	0.009333889	10585.375337839127
31	-87.07666	49.817535	-20.08	-139.45	775.6667	61999	-11.566129	4.1301856	-0.67932606	-19.20153	11.567618	0.011530188	10756.239618062973
32	-108.97666	63.975338	-18.96	-161.86	769.0	63999	-11.727307	4.1859503	-0.8249807	-19.343996	11.728535	0.0072309007	10956.349140644073
