Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-117.58	0.0	-117.58	-117.58	1000.0	0.12525192	0.0005985012	0.12818941	0.1214963	1000	-3.7431718e-07	123.270004	-0.006731191	-110.716484	0.918938	0.001940176	0.08	79.0	19.42703127861023
1	-23.86	0.0	-23.86	-23.86	367.0	-7.6285224	0.073316604	-7.558856	-8.051003	2000	-2.2411346e-08	4.665289	-0.0023868056	-3.0321655	0.89700526	0.022817189	0.225	3.0	736.7470498085022
2	-124.76	0.0	-124.76	-124.76	1000.0	-5.5825033	0.023829184	-5.580796	-6.335315	3000	-3.0326842e-07	42.093613	-0.0016509609	-39.909157	0.89637697	0.01954308	0.268	3.0	758.0547041893005
3	-115.88	0.0	-115.88	-115.88	1000.0	-11.404504	0.00042700052	-11.404225	-11.417369	4000	-4.3481588e-08	0.17612879	-0.0028018747	-0.03326665	0.8958046	0.015275877	0.204	2.0	777.6494710445404
4	-124.63	0.0	-124.63	-124.63	1000.0	-11.620113	0.00089410366	-11.591856	-11.620167	5000	6.020069e-08	1.1316615	0.0015936426	-0.77590895	0.89554954	0.018430479	0.208	3.0	795.2435925006866
5	-145.12	0.0	-145.12	-145.12	1000.0	-12.213779	0.007877666	-12.212701	-12.462476	6000	-1.347065e-07	5.54142	-0.0014030494	-5.0063987	0.89535016	0.01578079	0.124	3.0	812.6943759918213
6	-110.42	0.0	-110.42	-110.42	1000.0	-14.28212	0.00448142	-14.28094	-14.422482	7000	-1.6212464e-08	8.86055	-0.0064398265	-8.271382	0.89521194	0.016616043	0.311	4.0	830.0524218082428
7	-130.47	0.0	-130.47	-130.47	1000.0	-12.293926	0.02693285	-11.442868	-12.2960005	8000	2.375245e-08	3.3256507	-0.0063519087	-0.985343	0.8951282	0.0054274546	0.057	79.0	850.970005273819
8	-103.63	0.0	-103.63	-103.63	1000.0	-13.361032	0.0020211767	-13.29772	-13.36141	9000	-2.1219254e-08	8.899956	-0.0044409945	-6.695446	0.8892832	0.005267983	0.027	79.0	1863.6766834259033
9	-131.42	0.0	-131.42	-131.42	1000.0	-10.896886	0.0056503713	-10.719282	-10.89781	10000	-6.401539e-08	6.037448	-0.0059539382	-4.93039	0.88024807	0.0044168215	0.048	79.0	1882.948884010315
10	-24.46	7.13	-17.33	-31.59	303.0	-13.0975275	0.036661785	-13.048425	-13.150519	11000	-2.1517277e-08	35.508915	-0.0029978366	-31.46776	0.89281696	0.015024212	0.154	3.0	2300.3126842975616
11	-16.885	4.785	-12.1	-21.67	226.0	-5.6762066	0.1878255	-5.578668	-10.000931	12000	1.8447638e-08	4.5925283	-0.00759339	-2.4985955	0.8931234	0.010185844	0.115	79.0	2934.767237186432
12	-136.28	0.0	-136.28	-136.28	1000.0	-10.315843	0.100648426	-7.134657	-10.319519	13000	4.9352646e-08	10.9190445	-0.007904212	-10.27982	0.8957805	0.0013629672	0.068	79.0	2953.4303300380707
13	-118.25	0.0	-118.25	-118.25	1000.0	-13.328418	0.00791577	-13.326499	-13.578082	14000	-7.987023e-09	1.8861824	-0.008347197	-1.6225089	0.90235513	0.0062632766	0.064	79.0	2974.6903898715973
14	-18.26	0.0	-18.26	-18.26	297.0	-9.249105	1.1158674	-7.5260262	-12.040945	15000	-2.0489097e-08	5.905972	-0.007639106	-4.6849885	0.9037696	0.016035313	0.225	13.0	3727.751660823822
15	-97.06	0.0	-97.06	-97.06	1000.0	-3.3998134	0.22752832	-3.3694735	-10.540614	16000	-1.9311905e-08	32.526466	-0.002857391	-31.09844	0.9023007	0.024907976	0.212	2.0	3753.587515115738
16	-92.76	0.0	-92.76	-92.76	1000.0	-8.976591	0.00028100488	-8.976024	-8.976978	17000	-3.5542996e-08	4.164756	-0.005077502	-0.08703232	0.90183014	0.0027720695	0.032	79.0	4703.977888345718
17	-96.51	0.0	-96.51	-96.51	1000.0	-9.297607	0.0012402781	-9.274235	-9.29897	18000	-2.24486e-08	5.3105145	-0.0037776788	-0.27115822	0.89538485	0.009764145	0.023	79.0	5803.356854438782
18	-106.09	0.0	-106.09	-106.09	1000.0	-10.557021	0.026246341	-9.759068	-10.567043	19000	-2.0485372e-08	0.29313317	-0.0021156028	-0.0186252	0.88711923	0.017220218	0.187	3.0	6865.69997048378
19	-24.32	0.0	-24.32	-24.32	246.0	-9.959749	0.35122263	-9.747453	-10.585676	20000	-4.7683715e-09	7.8398724	-0.0069186646	-4.4093847	0.8871032	0.006043233	0.081	79.0	7435.280917644501
20	-146.29	0.0	-146.29	-146.29	1000.0	-11.263357	0.07450672	-8.908521	-11.267178	21000	-4.196167e-08	11.96145	-0.0068542496	-10.739866	0.8708677	0.007110735	0.057	79.0	7455.618901491165
21	-126.95	0.0	-126.95	-126.95	1000.0	-11.898463	0.12298338	-11.697667	-14.557773	22000	6.720424e-08	5.6033874	-0.001314462	-2.7949488	0.879351	0.016264124	0.198	3.0	8565.470798254013
22	-140.8	0.0	-140.8	-140.8	1000.0	-14.936272	0.1121666	-11.391029	-14.939983	23000	-4.965067e-08	1.0004437	-0.007721813	-0.31417036	0.87965095	0.0032052966	0.061	79.0	8585.230494260788
23	-135.0	0.0	-135.0	-135.0	1000.0	-14.271243	0.004267266	-14.263889	-14.375591	24000	-3.7252903e-08	3.1299284	-0.0059502656	-0.17005515	0.8749876	-0.00035301675	0.045	79.0	8607.526328802109
24	-142.08	0.0	-142.08	-142.08	1000.0	-12.307198	0.054193687	-12.233577	-13.813597	25000	3.361702e-08	4.0708246	-0.0061046723	-3.4937596	0.8692589	0.0053852424	0.041	79.0	8627.158581018448
25	-17.66	0.0	-17.66	-17.66	244.0	-12.9764805	2.3883517	-8.701135	-14.335248	26000	9.095669e-08	19.658703	-0.0044349222	-17.132032	0.84308195	0.006378539	0.075	79.0	8724.711309671402
26	-139.63	0.0	-139.63	-139.63	1000.0	-10.32398	0.0030980976	-10.246684	-10.325492	27000	-9.226799e-08	14.094639	-0.0069931205	-12.650156	0.83840656	0.0060175816	0.068	79.0	8743.562008142471
27	-119.76	0.0	-119.76	-119.76	1000.0	-11.133107	0.40936258	-10.209099	-13.844461	28000	-3.4704804e-08	11.878015	-0.010212251	-2.4807901	0.8304993	0.009226444	0.078	79.0	9818.271809577942
28	-140.98	0.0	-140.98	-140.98	1000.0	-13.821204	0.052113958	-12.174041	-13.822908	29000	-2.0921231e-08	2.8214066	-0.0065233186	-0.42424488	0.8321569	0.0030721023	0.053	79.0	9836.72277379036
29	-14.05	0.0	-14.05	-14.05	220.0	-14.042581	0.6407605	-12.820331	-14.463997	30000	2.977252e-08	24.18189	-0.0057368632	-18.426926	0.82386404	0.015924426	0.236	3.0	9933.4655854702
30	-22.83	0.0	-22.83	-22.83	338.0	-12.228178	4.195344	-5.896568	-15.227923	31000	1.6458333e-08	3.153081	-0.009136587	-1.1060007	0.8235906	0.008367308	0.071	79.0	10198.735831975937
31	-160.32	0.0	-160.32	-160.32	1000.0	-14.766119	0.23518237	-14.217326	-15.780638	32000	1.1146069e-08	14.303441	-0.0077711334	-7.9355297	0.81345046	0.008933219	0.047	79.0	10219.179309129715
32	-104.99	0.0	-104.99	-104.99	1000.0	-5.662428	0.23707664	-5.6490407	-13.15528	33000	-1.2350083e-07	22.790524	-0.0059386194	-20.318077	0.8009811	0.004783865	0.019	79.0	10871.12847328186
33	-118.23	0.0	-118.23	-118.23	1000.0	-10.168913	0.0021207565	-10.156151	-10.17247	34000	9.9241735e-09	11.217072	-0.0056487587	-3.7103543	0.79946613	0.0025386398	0.04	79.0	11752.204256772995
34	-18.57	7.59	-10.98	-26.16	318.0	-14.447197	3.8451145	-11.452766	-19.563368	35000	-2.8610229e-08	44.420414	-0.008556048	-41.180027	0.79881895	0.012622295	0.109	79.0	12020.652085781097
35	-141.48	0.0	-141.48	-141.48	1000.0	-5.407347	0.35890126	-5.210922	-16.351995	36000	3.576279e-08	72.20355	-0.0054362896	-67.402466	0.807927	0.0029664359	0.015	79.0	12039.507117986679
36	-19.45	0.0	-19.45	-19.45	280.0	-15.369357	1.7050917	-12.62516	-16.503794	37000	4.0233136e-08	28.142565	-0.008303434	-25.554487	0.81951207	0.014434416	0.13	79.0	12125.399017095566
37	-68.67	0.0	-68.67	-68.67	1000.0	-13.504825	0.015548366	-13.474323	-13.562864	38000	3.5715104e-07	38.8509	-0.0037174183	-37.375122	0.7961368	0.0014918399	0.034	79.0	12145.705410718918
38	-16.25	0.0	-16.25	-16.25	253.0	-6.539672	1.3153034	-4.2754884	-7.3599024	39000	-1.2040139e-08	13.223606	-0.007977664	-11.856738	0.8033815	0.0026448842	0.064	79.0	12291.46402168274
39	-27.24	0.0	-27.24	-27.24	409.0	-8.335643	3.5593634	-4.0462584	-11.296835	40000	-8.5532665e-09	2.1677125	-0.00871696	-0.41275358	0.7853184	0.00918684	0.073	79.0	12476.803404569626
40	-97.15	0.0	-97.15	-97.15	1000.0	-10.552567	0.038501468	-10.544668	-11.764847	41000	-5.8412553e-08	0.82722104	-0.006601247	-0.6339164	0.7978021	0.0033232397	0.05	79.0	12505.390388011932
41	-134.79	0.0	-134.79	-134.79	1000.0	-11.504943	0.07299284	-9.763222	-11.552212	42000	8.440018e-08	3.7780967	-0.012021545	-3.5364668	0.7890459	0.010783847	0.074	79.0	12525.411454200745
42	-135.85	0.0	-135.85	-135.85	1000.0	-10.92199	0.07780228	-10.916571	-13.380867	43000	-1.5664101e-07	7.795751	-0.010363474	-6.785336	0.7669954	0.003173024	0.051	79.0	12544.775254011154
43	-28.93	0.0	-28.93	-28.93	455.0	-11.546449	2.790639	-8.492147	-14.11927	44000	1.6033649e-08	12.572356	-0.004405441	-9.599438	0.78722125	0.01585676	0.163	6.0	12678.213938474655
44	-110.88	0.0	-110.88	-110.88	1000.0	-12.369187	0.016426243	-11.943032	-12.378468	45000	-3.671646e-07	1.3913502	0.00086375215	-1.2822206	0.78783065	0.018791536	0.202	2.0	12700.77261042595
45	-18.58	0.0	-18.58	-18.58	297.0	-9.4141445	3.3047588	-4.328307	-11.617914	46000	-1.8179417e-08	2.1078835	-0.008866146	-1.0036138	0.78779304	0.0025292118	0.089	79.0	12885.553910970688
46	-133.81	0.0	-133.81	-133.81	1000.0	-10.023139	0.011290222	-10.019827	-10.376261	47000	1.4746189e-07	12.971333	0.002805471	-10.807178	0.7871611	0.019702198	0.278	2.0	12903.127567529678
47	-95.99	0.0	-95.99	-95.99	1000.0	-12.624578	0.020788217	-12.622995	-13.281423	48000	-1.0633469e-07	8.256931	-0.0032771535	-7.7426353	0.7871034	0.0030006147	0.029	79.0	12927.562260627747
48	-119.15	0.0	-119.15	-119.15	1000.0	-9.827	0.00069879764	-9.822161	-9.82823	49000	-1.5115738e-07	3.8239598	-0.0045188605	-3.6414022	0.7922662	0.024574917	0.276	2.0	12945.549847364426
49	-100.93	0.0	-100.93	-100.93	1000.0	-12.181816	0.023947705	-11.715904	-12.214439	50000	-1.4305114e-08	3.8278422	-0.0074840686	-3.4268563	0.79231584	0.0081342375	0.072	79.0	12965.236510515213
50	-96.61	0.0	-96.61	-96.61	1000.0	-10.79819	0.026216997	-10.261015	-10.828855	51000	-1.6450882e-08	1.1254748	-0.002748414	-0.9125327	0.78633136	0.007908794	0.016	79.0	12987.542268037796
51	-48.41	0.0	-48.41	-48.41	1000.0	-11.363205	0.04914073	-9.818863	-11.379234	52000	6.651879e-08	40.285797	-0.0062450864	-38.04614	0.8008302	0.009042033	0.044	79.0	13691.814280986786
52	-125.8	0.0	-125.8	-125.8	1000.0	-5.0969405	0.0071008787	-5.088405	-5.219072	53000	-3.33786e-07	53.984695	-0.005753221	-50.39423	0.78996617	0.006015212	0.029	79.0	13711.26731801033
53	-68.25	0.0	-68.25	-68.25	1000.0	-12.295511	0.0004432276	-12.284818	-12.296271	54000	9.3221665e-08	29.510885	-0.0039061827	-27.227734	0.79485387	0.00278076	0.029	79.0	13734.335670948029
54	-170.66	0.0	-170.66	-170.66	1000.0	-6.979852	0.00022012678	-6.9773717	-6.980316	55000	7.152557e-09	95.030106	-0.0056324266	-89.87661	0.79636717	0.0070446357	0.046	79.0	13754.010600805283
55	-157.86	0.0	-157.86	-157.86	1000.0	-16.533438	2.3792598e-05	-16.532904	-16.533474	56000	-3.516674e-09	3.8402781	-0.0070587387	-0.06326532	0.7936	0.005884595	0.074	79.0	13773.091177463531
56	-46.47	0.0	-46.47	-46.47	1000.0	-16.277317	9.866589e-05	-16.277245	-16.279266	57000	3.4570695e-07	123.32802	-0.0082578715	-116.5067	0.7862662	0.0061884834	0.076	79.0	14785.634113550186
57	-127.69	0.0	-127.69	-127.69	1000.0	-5.2039404	0.00091370457	-5.1824846	-5.205032	58000	-5.4121017e-08	59.373356	-0.0017349441	-53.308895	0.77115464	0.016780332	0.196	3.0	14804.770219802856
58	-72.7	0.0	-72.7	-72.7	977.0	-12.22949	3.0038122e-05	-12.229382	-12.229535	59000	-1.6689301e-09	36.33823	-0.006698352	-32.428955	0.7707089	0.022639733	0.234	2.0	15500.922963619232
