Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-94.869995	6.4399986	-88.43	-101.31	1000.0	1999	1.6080666	0.4387922	2.3971255	0.79217327	-1.6110108	0.001032938	37.02825140953064
2	-75.55	2.5600014	-72.99	-78.11	1000.0	3999	0.7438789	0.4100584	1.5544891	-0.15436777	-0.7448108	0.00047211145	78.43876004219055
3	-90.715	5.2749977	-85.44	-95.99	1000.0	5999	-0.15913382	0.3597179	0.6251947	-1.0130079	0.15854107	0.00025955302	122.4651997089386
4	-71.93	12.519999	-59.41	-84.45	1000.0	7999	-1.0371854	0.3554705	-0.17933157	-1.7614655	1.0362309	0.00020717086	168.8574161529541
5	-96.935	11.584999	-85.35	-108.52	1000.0	9999	-1.779688	0.35087758	-0.8988084	-2.5301313	1.7790275	0.00022120964	218.6704387664795
6	-86.26	9.720001	-76.54	-95.98	1000.0	11999	-2.437109	0.3778354	-1.5286787	-3.2970705	2.436821	0.0003171426	1085.0003085136414
7	-114.69	1.8899994	-112.8	-116.58	1000.0	13999	-2.9984834	0.44983962	-1.9260166	-4.4458065	2.999377	0.00043416113	1120.6042141914368
8	-111.439995	43.739998	-67.7	-155.18	1000.0	15999	-3.570405	0.5485862	-2.2609355	-5.9867854	3.5714033	0.0006961346	1968.7983212471008
9	-102.74	10.459999	-92.28	-113.2	1000.0	17999	-4.2395787	0.7872077	-2.6035898	-7.116098	4.240471	0.0006739274	2001.3513560295105
10	-58.64	35.61	-23.03	-94.25	695.0	19999	-4.784497	0.90913105	-2.9083478	-8.176579	4.785033	0.0012222505	2233.6893558502197
11	-74.49	45.897907	-9.67	-109.85	720.3333	21999	-5.2217393	1.0324546	-3.2284868	-9.042786	5.2216372	0.0024061562	2668.746684551239
12	-80.899994	15.869999	-65.03	-96.77	1000.0	23999	-5.574673	1.1665207	-3.3332174	-9.8835125	5.5749784	0.0025414734	3310.4025268554688
13	-131.84	13.540001	-118.3	-145.38	1000.0	25999	-6.029764	1.317426	-3.3561943	-10.655167	6.0309677	0.0020501798	3344.957479953766
14	-117.04	0.7900009	-116.25	-117.83	1000.0	27999	-6.4855237	1.4733183	-3.4161603	-11.34809	6.486302	0.0022693954	3378.1968111991882
15	-69.042496	56.725803	-11.61	-135.47	607.5	29999	-6.9355674	1.6214272	-3.2841825	-11.999061	6.936842	0.0021731425	3598.1660289764404
16	-94.005005	5.1049995	-88.9	-99.11	1000.0	31999	-7.201703	1.7499689	-2.9368582	-12.593832	7.202579	0.0041510724	3769.7320964336395
17	-119.369995	19.02	-100.35	-138.39	1000.0	33999	-7.53333	1.8626896	-2.9312813	-13.102233	7.534461	0.0025960745	3803.3154435157776
18	-68.45	55.87	-12.58	-124.32	602.0	35999	-7.80799	1.9524108	-2.8561497	-13.617377	7.8094516	0.0035504813	3898.4970638751984
19	-123.119995	0.7400017	-122.38	-123.86	1000.0	37999	-8.099599	2.0528178	-2.7909782	-14.045674	8.100762	0.0035746985	4667.600038051605
20	-71.85	53.615883	-10.89	-141.38	734.6667	39999	-8.255796	2.232323	-2.7529433	-14.427787	8.256947	0.004586958	4995.388874530792
21	-57.05	48.272125	-12.28	-128.72	608.75	41999	-8.51383	2.3581653	-2.8272135	-14.822283	8.514529	0.0049137403	5176.825813770294
22	-109.085	7.2549973	-101.83	-116.34	1000.0	43999	-8.647131	2.4357095	-2.7897146	-15.199297	8.648084	0.0049100914	5211.478584289551
23	-143.065	8.574997	-134.49	-151.64	1000.0	45999	-8.921003	2.5268524	-2.8502243	-15.48445	8.921713	0.0046244115	5249.253582000732
24	-111.705	14.845001	-96.86	-126.55	1000.0	47999	-9.13787	2.5897496	-2.876016	-15.739362	9.139093	0.0042484216	5284.0816831588745
25	-98.47	32.24	-66.23	-130.71	1000.0	49999	-9.319971	2.6482368	-2.796265	-16.00484	9.320643	0.0045819213	5973.811737298965
26	-77.52	47.11	-30.41	-124.63	759.5	51999	-9.397634	2.7301304	-2.8590066	-16.221802	9.398581	0.004500358	6601.527377843857
27	-73.67	16.21	-57.46	-89.88	1000.0	53999	-9.411764	2.8333714	-2.8798919	-16.420158	9.412734	0.0043113115	7013.600949048996
28	-77.793335	40.708763	-21.73	-117.16	782.6667	55999	-9.505006	2.8614974	-2.857685	-16.580568	9.505919	0.0039544445	7167.286112785339
29	-86.665	22.795	-63.87	-109.46	1000.0	57999	-9.56024	2.9005897	-2.871416	-16.853392	9.561568	0.002996089	7847.556343078613
