Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-98.36	9.84	-88.52	-108.2	1000.0	1999	-0.74301505	0.22549005	1.0416327	-2.8351483	0.7398004	0.017642686	35.98025631904602
2	-74.994995	4.3449974	-70.65	-79.34	1000.0	3999	-1.3681078	0.29377803	-0.6310489	-2.0607712	1.3673888	0.00023778567	93.66369342803955
3	-87.39	2.8700027	-84.52	-90.26	1000.0	5999	-2.0872757	0.28617632	-1.4392636	-2.8944736	2.0863647	0.00048464793	164.98170018196106
4	-67.63	11.190001	-56.44	-78.82	1000.0	7999	-2.684979	0.2950138	-2.0953255	-3.586501	2.684399	0.0003162523	230.22019171714783
5	-94.93	6.9300003	-88.0	-101.86	1000.0	9999	-3.2534966	0.4066642	-2.5004883	-4.251369	3.2524142	0.0006213543	295.6296362876892
6	-150.515	16.664993	-133.85	-167.18	1000.0	11999	-3.8084395	0.4841889	-2.818389	-5.2854686	3.8081958	0.0005671259	348.52908992767334
7	-63.435	54.815002	-8.62	-118.25	584.5	13999	-4.3970327	0.6570933	-3.0973253	-6.763635	4.397004	0.0012108092	454.89880537986755
8	-156.10501	24.864998	-131.24	-180.97	1000.0	15999	-5.0253205	0.93406415	-3.3772979	-8.122241	5.0258994	0.0016599033	497.72103905677795
9	-125.195	2.7350006	-122.46	-127.93	1000.0	17999	-5.6242723	1.1820354	-3.5059338	-9.4074135	5.6263204	0.0015691913	546.9348211288452
10	-131.09	4.91	-126.18	-136.0	1000.0	19999	-6.262526	1.4406801	-3.5625794	-10.6563225	6.264997	0.0020484992	592.0742354393005
11	-163.68	28.870003	-134.81	-192.55	1000.0	21999	-6.9339857	1.7784134	-3.6401129	-12.330209	6.936914	0.0020225567	637.370356798172
12	-169.2	7.720001	-161.48	-176.92	1000.0	23999	-7.5970955	2.0584877	-3.543914	-13.352769	7.600741	0.0021852413	679.8763616085052
13	-148.91501	38.385002	-110.53	-187.3	1000.0	25999	-8.210775	2.3397222	-3.429246	-14.360102	8.214332	0.0023953205	1156.7178053855896
14	-80.104996	61.73463	-16.59	-154.01	661.5	27999	-8.674133	2.4973736	-3.294023	-15.324119	8.678116	0.0030214028	1637.463637828827
15	-156.68	18.629997	-138.05	-175.31	1000.0	29999	-9.105641	2.6748948	-3.1627078	-16.149406	9.110272	0.005404952	1680.1503455638885
16	-158.09	5.6600037	-152.43	-163.75	1000.0	31999	-9.622534	2.8453405	-3.2354164	-16.765032	9.626955	0.0054328833	1724.2178606987
17	-141.325	30.265	-111.06	-171.59	1000.0	33999	-10.097443	3.0241704	-3.1468418	-17.412222	10.102244	0.0051503284	1776.08136844635
18	-153.275	45.755	-107.52	-199.03	1000.0	35999	-10.417641	3.154256	-2.6799579	-18.636911	10.422433	0.0039745527	2182.1103780269623
19	-117.225	7.5250015	-109.7	-124.75	1000.0	37999	-10.793386	3.2954683	-2.6281393	-19.16248	10.79848	0.0038518049	2530.4926884174347
20	-153.08	6.220001	-146.86	-159.3	1000.0	39999	-11.079747	3.3697891	-2.5461583	-19.735283	11.084205	0.003387465	2571.6249973773956
